sample,floor_label,polymarket_price_floor,profit_margin,profit_margin_cents,contracts,model_signal_contracts,trades,trade_rate,divergences,divergence_rate,mean_polymarket_price,mean_all_in_cost,mean_fee_adjusted_edge,mean_profit_per_trade,mean_profit_per_contract,total_profit,total_model_expected_profit,bootstrap_expected_total_profit,bootstrap_total_profit_ci_low,bootstrap_total_profit_ci_high,bootstrap_expected_trades,bootstrap_trades_ci_low,bootstrap_trades_ci_high
calibration,none,0.0,0.22,22,232,205,164,0.7068965517241379,10,0.06097560975609756,0.5506036585365854,0.5791455299390244,0.4208544700609756,0.35987886030487803,0.254397125387931,59.02013309,60.46788308605855,59.18415794265999,51.1410858285,67.06618285449998,163.802,150.0,177.0
calibration,none,0.0,0.23,23,232,205,163,0.7025862068965517,10,0.06134969325153374,0.548963190184049,0.5775669998773006,0.42243300012269935,0.36108330687116563,0.25369215094827585,58.85657902,60.35361330127547,58.923558959640005,49.9356960825,68.01734905875,162.48,148.475,174.52499999999998
calibration,none,0.0,0.24,24,232,205,160,0.6896551724137931,10,0.0625,0.54411875,0.5738985845625,0.4261014154374999,0.3636014154375,0.2507595968534483,58.17622647,59.79778113056796,58.16759619394,49.55668242625,66.35971779975,159.838,146.0,172.52499999999998
calibration,none,0.0,0.25,25,232,205,155,0.6681034482758621,10,0.06451612903225806,0.5367677419354839,0.5668500343870967,0.43314996561290325,0.3686338365806452,0.24628553737068967,57.138244670000006,59.0767487960467,56.91373559078,48.8418479105,65.3056194535,155.038,141.0,169.0
calibration,none,0.0,0.26,26,232,205,151,0.6508620689655172,10,0.06622516556291391,0.53058940397351,0.5611003782119205,0.43889962178807956,0.37267445622516554,0.24255966762931033,56.27384289,58.47529037791642,56.04491459966,47.390069686249994,64.0259526525,151.01,136.475,165.0
calibration,none,0.0,0.27,27,232,205,148,0.6379310344827587,10,0.06756756756756757,0.5266216216216216,0.5567882409459459,0.4432117590540541,0.3756441914864865,0.2396350876724138,55.59534034,57.94408339352185,55.762155659,46.91814416425,64.21097565574999,148.518,135.0,160.0
calibration,none,0.0,0.28,28,232,205,144,0.6206896551724138,10,0.06944444444444445,0.5202083333333334,0.5503127313194445,0.4496872686805556,0.3802428242361111,0.23601278745689658,54.75496669,57.229140475596644,54.389875406239995,45.46330030625,62.576941716499995,144.056,130.0,158.0
calibration,none,0.0,0.29,29,232,205,141,0.6077586206896551,10,0.07092198581560284,0.5163829787234042,0.5467831356737589,0.4532168643262412,0.3822948785106383,0.23234300806034483,53.90357787,56.56155820710612,53.44109907178,44.67057631475,62.275308284000005,141.28,128.0,154.52499999999998
calibration,none,0.0,0.3,30,232,205,136,0.5862068965517241,10,0.07352941176470588,0.5118382352941178,0.5406110701470589,0.45938892985294116,0.3858595180882353,0.2261935106034483,52.476894460000004,55.421926920410954,52.503578695179996,44.07116509575,60.357654768749995,136.172,120.475,152.0
calibration,none,0.0,0.31,31,232,205,135,0.5818965517241379,10,0.07407407407407407,0.5082962962962964,0.5358896365925927,0.4641103634074074,0.39003628933333334,0.22696077181034482,52.65489906,55.6449178886988,52.81701835516,45.29108520725,60.84023016225,135.242,120.0,149.0
calibration,none,0.0,0.32,32,232,205,132,0.5689655172413793,10,0.07575757575757576,0.5025757575757576,0.5298059057575757,0.4701940942424242,0.39443651848484845,0.22442077775862068,52.06562044,55.253254740230545,52.0985440291,43.123972922,60.52109544299999,132.43,116.0,146.0
calibration,none,0.0,0.33,33,232,205,130,0.5603448275862069,10,0.07692307692307693,0.49976923076923074,0.5263359064615385,0.4736640935384616,0.39674101661538463,0.22231177655172413,51.57633216,54.90305889167556,51.47548865542,43.004415318750006,59.310208267,130.234,116.0,144.0
calibration,none,0.0,0.34,34,232,205,129,0.5560344827586207,10,0.07751937984496124,0.49620155038759683,0.5225300406201551,0.47746995937984493,0.3999505795348837,0.22238631362068964,51.59362476,54.92472762444336,51.65596218458,43.813672034,60.35054354875,129.146,113.475,144.0
